Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,epochs,train_time,test_time,params
cora_runxb7tz2x4_SAGE_Variant,45.06,45.06,73.12,76.28,90.12,92.89,51.26,45.06,45.06,73.12,76.28,90.12,92.89,91.37,93.37,78.26,1000.0,0.1178641319274902,0.127241849899292,220737.0
cora_runc49dlahq_SAGE_Variant,37.15,56.13,64.82,75.1,84.98,95.65,51.29,37.15,56.13,64.82,75.1,84.98,95.65,91.85,92.86,83.4,1000.0,0.1169700622558593,0.1264450550079345,220737.0
cora_run66oczdb3_SAGE_Variant,38.74,58.5,70.36,72.73,86.17,94.86,50.14,38.74,58.5,70.36,72.73,86.17,94.86,92.04,93.14,79.25,1000.0,0.1205232143402099,0.1302013397216797,220737.0
cora_runj3zq4upf_SAGE_Variant,30.04,37.15,55.73,66.01,81.03,94.86,37.98,30.04,37.15,55.73,66.01,81.03,94.86,90.55,91.82,78.85,1000.0,0.1146876811981201,0.1249356269836425,220737.0
cora_runz96z4765_SAGE_Variant,30.43,36.36,57.71,73.52,89.72,97.23,39.5,30.43,36.36,57.71,73.52,89.72,97.23,93.03,93.66,79.45,1000.0,0.1184148788452148,0.1277022361755371,220737.0
cora_runz96z4765_SAGE_Variant,36.28 ± 6.27,46.64 ± 10.36,64.35 ± 7.61,72.73 ± 4.00,86.40 ± 3.73,95.10 ± 1.57,46.03 ± 6.70,36.28 ± 6.27,46.64 ± 10.36,64.35 ± 7.61,72.73 ± 4.00,86.40 ± 3.73,95.10 ± 1.57,91.77 ± 0.91,92.97 ± 0.71,79.84 ± 2.04,,,,
cora_runhnzssv6e_SAGE_Variant,2.77,8.7,11.46,17.0,26.88,43.08,7.02,2.77,8.7,11.46,17.0,26.88,43.08,50.34,57.5,45.65,1.0,0.0406453609466552,0.0453243255615234,220737.0
cora_runx2llya0b_SAGE_Variant,0.79,5.14,9.09,22.53,32.02,50.59,4.81,0.79,5.14,9.09,22.53,32.02,50.59,55.7,59.67,56.52,1.0,0.0416719913482666,0.0464041233062744,220737.0
cora_runqsbbtlad_SAGE_Variant,4.35,8.7,22.13,29.25,40.71,53.75,9.92,4.35,8.7,22.13,29.25,40.71,53.75,60.89,66.88,52.17,1.0,0.0411195755004882,0.0457534790039062,220737.0
cora_runuly18lyc_SAGE_Variant,0.4,1.19,8.7,15.02,28.06,40.71,3.1,0.4,1.19,8.7,15.02,28.06,40.71,49.95,54.31,46.64,1.0,0.0412182807922363,0.045961856842041,220737.0
cora_runuk3dzc9s_SAGE_Variant,1.19,3.16,13.44,20.55,37.55,57.31,5.57,1.19,3.16,13.44,20.55,37.55,57.31,61.75,64.08,50.0,1.0,0.0418343544006347,0.0466177463531494,220737.0
cora_runuk3dzc9s_SAGE_Variant,1.90 ± 1.64,5.38 ± 3.34,12.96 ± 5.47,20.87 ± 5.53,33.04 ± 5.98,49.09 ± 7.03,6.08 ± 2.57,1.90 ± 1.64,5.38 ± 3.34,12.96 ± 5.47,20.87 ± 5.53,33.04 ± 5.98,49.09 ± 7.03,55.73 ± 5.60,60.49 ± 5.04,50.20 ± 4.39,,,,
Best,45.06,8.7,9.09,76.28,90.12,97.23,9.92,45.06,8.7,9.09,76.28,90.12,97.23,93.03,93.66,83.4,1000.0,0.1205232143402099,0.1302013397216797,220737.0
