Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr
pwc_small_run4ic4ezsr_SEAL_hyperhsisp6la,5.26,52.63,84.21,100.0,100.0,100.0,36.67,5.26,52.63,84.21,100.0,100.0,100.0,85.32,78.48,76.32,64,32,0.001
pwc_small_run4ic4ezsr_SEAL_hyperaqjxt6pf,5.26,52.63,84.21,100.0,100.0,100.0,36.67,5.26,52.63,84.21,100.0,100.0,100.0,90.03,78.48,76.32,64,32,0.0001
pwc_small_run4ic4ezsr_SEAL_hypers66vqlyi,5.26,52.63,100.0,100.0,100.0,100.0,36.67,5.26,52.63,100.0,100.0,100.0,100.0,91.69,87.74,84.21,64,64,0.001
pwc_small_run4ic4ezsr_SEAL_hyper1vx3dg7d,5.26,52.63,100.0,100.0,100.0,100.0,36.67,5.26,52.63,100.0,100.0,100.0,100.0,91.69,87.74,84.21,64,64,0.0001
pwc_small_run4ic4ezsr_SEAL_hyperqzt84li1,5.26,52.63,100.0,100.0,100.0,100.0,36.67,5.26,52.63,100.0,100.0,100.0,100.0,91.69,87.74,76.32,64,128,0.001
pwc_small_run4ic4ezsr_SEAL_hyperfsz9kzi8,5.26,52.63,100.0,100.0,100.0,100.0,36.67,5.26,52.63,100.0,100.0,100.0,100.0,91.69,87.74,76.32,64,128,0.0001
pwc_small_run4ic4ezsr_SEAL_hypercdec3zob,5.26,52.63,100.0,100.0,100.0,100.0,36.67,5.26,52.63,100.0,100.0,100.0,100.0,91.69,87.74,76.32,64,256,0.001
pwc_small_run4ic4ezsr_SEAL_hyperq3i15sm0,5.26,52.63,100.0,100.0,100.0,100.0,36.67,5.26,52.63,100.0,100.0,100.0,100.0,91.69,87.74,76.32,64,256,0.0001
pwc_small_run4ic4ezsr_SEAL_hyper0825g8gw,5.26,78.95,100.0,100.0,100.0,100.0,36.67,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,128,32,0.001
pwc_small_run4ic4ezsr_SEAL_hyperwodvk9y5,5.26,78.95,100.0,100.0,100.0,100.0,36.67,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,128,32,0.0001
pwc_small_run4ic4ezsr_SEAL_hypero1kauv63,5.26,78.95,100.0,100.0,100.0,100.0,36.67,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,128,64,0.001
pwc_small_run4ic4ezsr_SEAL_hyper5ui5u82y,5.26,78.95,100.0,100.0,100.0,100.0,36.67,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,128,64,0.0001
pwc_small_run4ic4ezsr_SEAL_hyperlbeog4nj,5.26,78.95,100.0,100.0,100.0,100.0,36.67,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,128,128,0.001
pwc_small_run4ic4ezsr_SEAL_hyper1p8clfi7,5.26,78.95,100.0,100.0,100.0,100.0,36.67,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,128,128,0.0001
pwc_small_run4ic4ezsr_SEAL_hyperz6uu4xwz,5.26,78.95,100.0,100.0,100.0,100.0,36.67,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,128,256,0.001
pwc_small_run4ic4ezsr_SEAL_hyper1m0bu2yk,5.26,78.95,100.0,100.0,100.0,100.0,36.67,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,128,256,0.0001
pwc_small_run4ic4ezsr_SEAL_hyperjqndlfbd,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,32,0.001
pwc_small_run4ic4ezsr_SEAL_hyper847fphh1,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,32,0.0001
pwc_small_run4ic4ezsr_SEAL_hyperke9kmzk4,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,64,0.001
pwc_small_run4ic4ezsr_SEAL_hyper1nq466wa,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,64,0.0001
pwc_small_run4ic4ezsr_SEAL_hyper1zn62kww,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,128,0.001
pwc_small_run4ic4ezsr_SEAL_hypermtppivds,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,128,0.0001
pwc_small_run4ic4ezsr_SEAL_hyperlny4rwqr,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,256,0.001
pwc_small_run4ic4ezsr_SEAL_hyperwfufrl8c,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,256,0.0001
Best,5.26,78.95,100.0,100.0,100.0,100.0,43.62,5.26,78.95,100.0,100.0,100.0,100.0,95.57,94.76,94.74,256,256,0.001
