name,num_nodes,num_edges, proximity
pwc_small,140.0,796, 0.4092
cora,2485.0,10138.0, 0.1575
pubmed,19717.0,88648.0, 0.2729
arxiv_2023,13153.0,68260.0, 0.8792
pwc_medium,86795.0,933138.0, 0.4580
ogbn-arxiv,169343.0,2315598.0, 0.8265
citationv8,1084224.0,12198168.0, 0.4711
ogbl-ppa, 576289, 30326273, 0.5
ogbl-collab, 235868, 1285465, 0.9335
ogbl-ddi, 4267, 1334889, 0.5 
ogbl-citation2, 2927963, 30561187, 0.8631
ogbl-wikikg2, 2500604, 17137181, 0.5
ogbl-biokg, 93773, 5088434, 0.5
ogbl-vessel, 3538495, 5345897, 0.3112
